project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-11,subproject-3,rca-29,program-34,15934,9848.53,11666.89,7545.23,7077.23,6175.95,project-11-subproject-3-rca-29program-34
project-16,subproject-27,rca-24,program-5,18343,23631.81,23877.46,15367.34,12400.06,10417.33,project-16-subproject-27-rca-24program-5
project-20,subproject-25,rca-67,program-37,24596,12407.49,12564.91,8939.2,5720.58,5091.42,project-20-subproject-25-rca-67program-37
project-11,subproject-5,rca-6,program-51,26065,28210.98,33141.02,33492.78,25169.01,23348.49,project-11-subproject-5-rca-6program-51
project-16,subproject-27,rca-19,program-67,8808,6717.47,6719.19,7270.1,5045.3,4087.01,project-16-subproject-27-rca-19program-67
project-16,subproject-30,rca-69,program-116,18727,20873.93,22868.84,26320.58,28971.13,25993.91,project-16-subproject-30-rca-69program-116
project-8,subproject-2,rca-27,program-97,21877,17739.04,20194.16,19242.18,12859.3,11451.69,project-8-subproject-2-rca-27program-97
project-14,subproject-11,rca-1,program-52,1692,1510.82,1435.59,1807.92,1085.07,916.63,project-14-subproject-11-rca-1program-52
project-12,subproject-30,rca-79,program-71,26459,28353.75,30894.83,38068.06,29008.1,27892.64,project-12-subproject-30-rca-79program-71
project-13,subproject-37,rca-51,program-63,6755,6957.43,7823.69,4822.76,3939.69,3382.06,project-13-subproject-37-rca-51program-63
project-10,subproject-23,rca-79,program-74,12567,13380.11,14636.35,18916.08,21741.54,21004.83,project-10-subproject-23-rca-79program-74
project-9,subproject-39,rca-63,program-113,17875,20448.75,22921.52,15272.25,17392.79,14435.79,project-9-subproject-39-rca-63program-113
project-20,subproject-5,rca-64,program-107,13242,11864.05,11421.41,9711.01,6333.76,5223.81,project-20-subproject-5-rca-64program-107
project-20,subproject-4,rca-70,program-119,3284,4112.48,3428.53,3417.6,3247.84,2790.31,project-20-subproject-4-rca-70program-119
project-4,subproject-17,rca-71,program-95,6920,8225.09,7159.27,8013.48,7439.96,6951.06,project-4-subproject-17-rca-71program-95
project-11,subproject-13,rca-31,program-83,7398,6220.02,7430.25,6990.67,5861.57,5704.04,project-11-subproject-13-rca-31program-83
project-12,subproject-13,rca-14,program-35,1527,894.2,1000.75,729.18,640.45,514.07,project-12-subproject-13-rca-14program-35
project-15,subproject-9,rca-46,program-37,10454,10693.63,8923.21,8475.1,5210.08,5099.27,project-15-subproject-9-rca-46program-37
project-17,subproject-18,rca-27,program-101,26758,30697.78,26148.44,28776.49,22294.61,21277.56,project-17-subproject-18-rca-27program-101
project-18,subproject-14,rca-13,program-102,20486,18965.17,17365.28,11175.05,11675.07,10658.83,project-18-subproject-14-rca-13program-102
project-16,subproject-33,rca-15,program-113,20814,20722.38,18622.08,23034.39,26510.17,24105.41,project-16-subproject-33-rca-15program-113
project-2,subproject-17,rca-47,program-9,23058,17144.44,16573.95,18179.74,16211.12,15311.89,project-2-subproject-17-rca-47program-9
project-3,subproject-36,rca-79,program-49,4761,3319.76,3667.3,3565.84,3989.33,3537.37,project-3-subproject-36-rca-79program-49
project-13,subproject-17,rca-15,program-30,21234,19631.76,21373.57,22110.21,17656.14,16433.1,project-13-subproject-17-rca-15program-30
project-14,subproject-7,rca-23,program-94,27116,15855.73,17442.95,19589.67,14511.06,11831.99,project-14-subproject-7-rca-23program-94
project-12,subproject-9,rca-64,program-74,29206,20098.29,17469.55,21009.33,14516.16,12396.41,project-12-subproject-9-rca-64program-74
project-4,subproject-2,rca-58,program-104,26135,32483.2,35287.24,41146.16,45618.7,39904.02,project-4-subproject-2-rca-58program-104
project-9,subproject-38,rca-23,program-68,9757,9099.57,8098.01,9918.93,10335.57,9059.59,project-9-subproject-38-rca-23program-68
project-16,subproject-34,rca-59,program-100,25338,32748.99,26607.54,29542.77,21825.78,20209.24,project-16-subproject-34-rca-59program-100
project-4,subproject-27,rca-41,program-112,4092,2701.16,2507.96,2972.0,1857.41,1527.0,project-4-subproject-27-rca-41program-112
project-12,subproject-23,rca-2,program-119,28283,26923.26,27159.16,21150.22,18664.23,18487.79,project-12-subproject-23-rca-2program-119
project-15,subproject-2,rca-10,program-82,1247,630.89,705.67,473.07,511.23,460.9,project-15-subproject-2-rca-10program-82
project-17,subproject-8,rca-69,program-35,15467,11973.85,12663.37,12415.55,10313.27,9002.44,project-17-subproject-8-rca-69program-35
project-4,subproject-15,rca-36,program-51,18042,20785.15,22827.47,27524.44,30274.46,26576.17,project-4-subproject-15-rca-36program-51
project-8,subproject-33,rca-35,program-32,25107,24308.46,27813.77,18275.82,15025.35,14706.39,project-8-subproject-33-rca-35program-32
project-13,subproject-26,rca-33,program-116,23403,24198.77,26328.64,19870.82,18228.75,14943.23,project-13-subproject-26-rca-33program-116
project-5,subproject-18,rca-69,program-86,25135,18571.69,19296.45,13075.84,15279.58,14765.66,project-5-subproject-18-rca-69program-86
project-9,subproject-32,rca-58,program-105,6984,4791.12,5411.38,6798.04,4283.99,4091.91,project-9-subproject-32-rca-58program-105
project-5,subproject-34,rca-80,program-2,3697,3228.21,2678.43,2391.95,1842.13,1801.44,project-5-subproject-34-rca-80program-2
project-15,subproject-34,rca-49,program-68,6299,8030.26,9490.72,10443.49,9286.72,9120.78,project-15-subproject-34-rca-49program-68
project-17,subproject-20,rca-44,program-94,1620,1733.06,1828.72,1881.04,1722.84,1515.09,project-17-subproject-20-rca-44program-94
project-12,subproject-28,rca-64,program-76,26271,15203.88,17741.15,13257.36,9882.44,8999.82,project-12-subproject-28-rca-64program-76
project-9,subproject-39,rca-25,program-8,1937,2261.62,2468.16,2712.79,2383.0,2340.28,project-9-subproject-39-rca-25program-8
project-19,subproject-9,rca-77,program-20,26630,28819.09,26343.28,30028.57,34068.69,33741.76,project-19-subproject-9-rca-77program-20
project-2,subproject-36,rca-52,program-51,16601,10523.46,9635.14,5816.66,5068.79,4936.85,project-2-subproject-36-rca-52program-51
project-4,subproject-2,rca-57,program-91,29369,34698.95,31194.96,24552.77,26726.81,23021.16,project-4-subproject-2-rca-57program-91
project-4,subproject-2,rca-71,program-75,20921,15122.72,12197.37,8770.43,7249.73,6126.36,project-4-subproject-2-rca-71program-75
project-12,subproject-25,rca-54,program-60,4387,2870.54,2708.3,2667.8,1783.12,1437.13,project-12-subproject-25-rca-54program-60
project-5,subproject-25,rca-80,program-29,2339,2758.67,3250.82,2478.21,2309.02,1869.08,project-5-subproject-25-rca-80program-29
project-5,subproject-4,rca-22,program-58,22462,22264.03,24905.06,25144.81,26129.08,21547.07,project-5-subproject-4-rca-22program-58
project-9,subproject-32,rca-35,program-49,23282,30163.5,33159.97,33738.57,23133.17,19245.62,project-9-subproject-32-rca-35program-49
project-8,subproject-16,rca-50,program-40,19776,14847.55,16487.59,15942.14,10594.27,10364.95,project-8-subproject-16-rca-50program-40
project-14,subproject-21,rca-4,program-50,27001,22353.66,21949.77,15369.86,12732.96,10589.16,project-14-subproject-21-rca-4program-50
project-10,subproject-11,rca-41,program-89,18509,19384.99,15606.92,14373.75,11909.31,11155.33,project-10-subproject-11-rca-41program-89
project-5,subproject-1,rca-26,program-21,21914,16020.05,15565.89,10944.75,12584.33,12565.3,project-5-subproject-1-rca-26program-21
project-14,subproject-3,rca-26,program-40,3096,2577.55,2348.41,2425.43,2104.01,2028.75,project-14-subproject-3-rca-26program-40
project-5,subproject-3,rca-3,program-65,28866,18612.75,19165.19,17775.85,17574.66,16847.83,project-5-subproject-3-rca-3program-65
project-19,subproject-35,rca-47,program-43,1813,1526.13,1666.77,1633.67,1487.33,1293.04,project-19-subproject-35-rca-47program-43
project-17,subproject-16,rca-55,program-99,4688,2841.53,3119.9,3537.62,2391.26,2232.84,project-17-subproject-16-rca-55program-99
project-16,subproject-5,rca-28,program-62,4834,3147.78,3129.53,3938.41,4457.16,4423.98,project-16-subproject-5-rca-28program-62
project-8,subproject-33,rca-67,program-97,2704,1494.36,1457.3,1340.38,1491.18,1288.5,project-8-subproject-33-rca-67program-97
project-2,subproject-14,rca-5,program-83,23073,28037.01,31598.21,27932.16,32142.12,29774.92,project-2-subproject-14-rca-5program-83
project-16,subproject-31,rca-50,program-116,1949,1440.35,1471.08,1075.52,714.22,634.52,project-16-subproject-31-rca-50program-116
project-5,subproject-11,rca-27,program-88,29027,26280.69,31161.41,28279.34,23765.48,21166.45,project-5-subproject-11-rca-27program-88
project-8,subproject-28,rca-26,program-16,22846,19840.3,23749.32,29602.97,28263.71,22804.24,project-8-subproject-28-rca-26program-16
project-10,subproject-36,rca-31,program-52,22161,26227.29,29721.41,37315.1,27080.35,23048.07,project-10-subproject-36-rca-31program-52
project-16,subproject-23,rca-30,program-108,19788,12384.29,12453.97,12091.94,12775.84,12136.42,project-16-subproject-23-rca-30program-108
project-6,subproject-12,rca-48,program-14,29706,19717.94,15778.87,15996.73,18646.3,18456.65,project-6-subproject-12-rca-48program-14
project-17,subproject-28,rca-76,program-24,22731,14855.91,13778.82,13372.08,11461.8,9785.68,project-17-subproject-28-rca-76program-24
project-2,subproject-34,rca-26,program-118,7920,5382.96,4639.01,5697.28,4593.35,3921.82,project-2-subproject-34-rca-26program-118
project-8,subproject-23,rca-26,program-101,2969,3556.18,3472.44,2836.17,1761.12,1420.86,project-8-subproject-23-rca-26program-101
project-15,subproject-23,rca-57,program-48,22899,18036.85,17501.82,17684.21,10758.9,8934.94,project-15-subproject-23-rca-57program-48
project-13,subproject-18,rca-42,program-19,10248,10686.27,11871.29,11953.18,12149.25,11951.66,project-13-subproject-18-rca-42program-19
project-20,subproject-7,rca-74,program-51,18427,15608.86,15433.91,14172.59,16339.54,15224.89,project-20-subproject-7-rca-74program-51
project-7,subproject-1,rca-50,program-74,14594,17609.8,16384.74,14953.71,9973.66,9288.11,project-7-subproject-1-rca-50program-74
project-7,subproject-37,rca-17,program-9,15407,11844.78,12920.61,13036.21,13783.81,12296.81,project-7-subproject-37-rca-17program-9
project-3,subproject-18,rca-4,program-112,12553,14709.6,13021.4,9493.92,7779.65,6958.33,project-3-subproject-18-rca-4program-112
project-2,subproject-25,rca-65,program-85,4434,4208.14,3563.36,3655.59,2677.81,2252.17,project-2-subproject-25-rca-65program-85
project-1,subproject-29,rca-26,program-2,21417,18941.39,17450.47,17656.64,15697.47,13480.6,project-1-subproject-29-rca-26program-2
project-20,subproject-29,rca-12,program-99,24530,23986.83,24915.32,28934.55,21464.63,17424.09,project-20-subproject-29-rca-12program-99
project-3,subproject-35,rca-42,program-16,3080,1591.67,1874.38,2296.91,1632.11,1459.36,project-3-subproject-35-rca-42program-16
project-16,subproject-28,rca-53,program-107,26343,30707.94,33695.2,22475.63,24134.64,21493.75,project-16-subproject-28-rca-53program-107
project-5,subproject-12,rca-35,program-71,29666,22938.7,19281.31,19151.14,14868.5,13536.47,project-5-subproject-12-rca-35program-71
project-18,subproject-2,rca-59,program-118,13517,9674.31,7925.21,8082.9,5119.96,4182.11,project-18-subproject-2-rca-59program-118
project-9,subproject-31,rca-15,program-46,20398,11605.09,9855.15,9316.03,9967.07,8171.97,project-9-subproject-31-rca-15program-46
project-5,subproject-17,rca-24,program-46,1580,899.1,998.15,1084.72,1081.72,918.48,project-5-subproject-17-rca-24program-46
project-4,subproject-38,rca-46,program-40,15535,16526.11,18938.71,15595.23,10724.74,9071.36,project-4-subproject-38-rca-46program-40
project-14,subproject-27,rca-7,program-62,24611,21825.48,20649.56,19244.26,20689.0,18034.38,project-14-subproject-27-rca-7program-62
project-10,subproject-8,rca-6,program-105,26574,16883.52,17939.35,16907.7,19689.94,16069.77,project-10-subproject-8-rca-6program-105
project-1,subproject-7,rca-22,program-85,3786,4169.47,3736.92,2976.55,2907.08,2469.73,project-1-subproject-7-rca-22program-85
project-15,subproject-38,rca-25,program-31,12829,13483.53,15869.57,17313.09,13909.37,11573.75,project-15-subproject-38-rca-25program-31
project-15,subproject-11,rca-33,program-60,20895,15784.36,15345.98,11798.46,9106.7,9042.72,project-15-subproject-11-rca-33program-60
project-2,subproject-22,rca-36,program-51,12701,12119.57,12947.47,13923.65,15047.44,13651.63,project-2-subproject-22-rca-36program-51
project-17,subproject-25,rca-44,program-6,23556,16224.85,19081.14,24664.19,29291.55,25764.42,project-17-subproject-25-rca-44program-6
project-6,subproject-40,rca-41,program-110,5273,4062.5,4150.43,4650.93,4900.94,4541.94,project-6-subproject-40-rca-41program-110
project-9,subproject-8,rca-25,program-19,7639,9232.61,9894.16,8454.64,7062.9,6748.36,project-9-subproject-8-rca-25program-19
project-10,subproject-31,rca-62,program-93,12738,16362.99,18708.09,20611.11,14243.86,13205.79,project-10-subproject-31-rca-62program-93
project-7,subproject-2,rca-13,program-59,20345,15979.47,16224.17,17078.04,11937.47,9648.19,project-7-subproject-2-rca-13program-59
project-16,subproject-15,rca-74,program-33,18382,22967.22,23393.82,16757.71,12512.24,10526.18,project-16-subproject-15-rca-74program-33
project-20,subproject-19,rca-63,program-90,24824,20350.92,21746.9,18777.32,20805.42,17442.99,project-20-subproject-19-rca-63program-90
project-11,subproject-25,rca-77,program-5,22112,14891.64,16189.36,10785.39,10667.67,10141.28,project-11-subproject-25-rca-77program-5
project-1,subproject-8,rca-80,program-109,27672,25873.95,23063.69,21208.26,14781.08,12487.49,project-1-subproject-8-rca-80program-109
project-5,subproject-33,rca-37,program-97,26769,20462.09,18474.36,23696.31,15339.35,14455.45,project-5-subproject-33-rca-37program-97
project-14,subproject-16,rca-32,program-30,13836,12642.09,11100.2,13524.93,11895.78,11484.25,project-14-subproject-16-rca-32program-30
project-14,subproject-19,rca-23,program-82,1441,1749.82,1451.86,901.47,595.35,531.43,project-14-subproject-19-rca-23program-82
project-2,subproject-30,rca-6,program-105,12556,13244.98,12635.69,8205.61,8161.43,7772.24,project-2-subproject-30-rca-6program-105
project-14,subproject-12,rca-57,program-34,26118,25446.17,27359.94,33575.89,26049.03,24853.43,project-14-subproject-12-rca-57program-34
project-8,subproject-10,rca-26,program-110,5501,3333.83,3791.24,2774.76,2644.54,2356.34,project-8-subproject-10-rca-26program-110
project-6,subproject-39,rca-26,program-94,14248,11499.44,10796.53,13511.5,12642.82,11139.34,project-6-subproject-39-rca-26program-94
project-3,subproject-38,rca-53,program-57,12252,15149.37,15778.94,11536.47,10184.16,8812.87,project-3-subproject-38-rca-53program-57
project-13,subproject-1,rca-15,program-77,6928,5443.03,6237.68,5723.99,3574.84,3249.17,project-13-subproject-1-rca-15program-77
project-18,subproject-20,rca-5,program-76,6306,4189.46,4898.23,3506.64,2545.98,2283.29,project-18-subproject-20-rca-5program-76
project-18,subproject-17,rca-62,program-8,26947,15250.46,15831.71,12306.58,8313.63,6973.8,project-18-subproject-17-rca-62program-8
project-14,subproject-22,rca-73,program-26,22728,18864.44,21474.92,24173.73,19509.96,19190.33,project-14-subproject-22-rca-73program-26
project-15,subproject-6,rca-3,program-49,24439,23338.71,27252.4,30005.28,28687.21,26634.71,project-15-subproject-6-rca-3program-49
project-12,subproject-15,rca-28,program-108,23402,29507.41,25929.28,21913.45,21747.99,17953.81,project-12-subproject-15-rca-28program-108
project-20,subproject-11,rca-76,program-98,9824,10081.76,10388.73,10604.93,10563.52,10444.09,project-20-subproject-11-rca-76program-98
project-17,subproject-4,rca-49,program-76,18784,16002.58,14604.81,9797.31,11299.16,9759.43,project-17-subproject-4-rca-49program-76
project-2,subproject-6,rca-3,program-59,24410,31452.9,30713.43,26343.8,16746.93,13869.64,project-2-subproject-6-rca-3program-59
project-19,subproject-26,rca-7,program-30,19181,20187.57,18067.91,11674.19,12238.56,11243.98,project-19-subproject-26-rca-7program-30
project-2,subproject-9,rca-22,program-15,12507,14759.3,16011.23,9859.71,8560.32,7125.36,project-2-subproject-9-rca-22program-15
project-6,subproject-21,rca-57,program-64,5842,3767.88,4299.25,2694.88,2277.07,1904.24,project-6-subproject-21-rca-57program-64
project-2,subproject-32,rca-4,program-106,2737,2200.61,2040.59,2616.48,2317.46,1956.04,project-2-subproject-32-rca-4program-106
project-7,subproject-9,rca-27,program-51,28952,24358.75,26335.42,26830.42,16661.63,16187.05,project-7-subproject-9-rca-27program-51
project-18,subproject-31,rca-74,program-63,23166,16968.27,15439.96,15848.53,15123.96,14081.64,project-18-subproject-31-rca-74program-63
project-13,subproject-13,rca-62,program-44,9900,8372.9,7166.41,9045.2,6849.12,5869.23,project-13-subproject-13-rca-62program-44
project-13,subproject-29,rca-18,program-79,29846,35473.79,29832.84,34244.25,35600.54,33147.37,project-13-subproject-29-rca-18program-79
project-2,subproject-3,rca-59,program-24,20087,12008.18,13560.0,17077.92,11704.09,10290.04,project-2-subproject-3-rca-59program-24
project-15,subproject-21,rca-1,program-101,8226,7486.34,8209.24,5952.77,5444.71,4901.54,project-15-subproject-21-rca-1program-101
project-13,subproject-36,rca-23,program-68,17060,21085.01,23851.01,23794.92,24540.0,20642.83,project-13-subproject-36-rca-23program-68
project-14,subproject-20,rca-17,program-102,26606,26354.89,22082.35,26508.69,16806.01,14202.63,project-14-subproject-20-rca-17program-102
project-16,subproject-29,rca-30,program-97,19480,14562.96,15582.43,13804.09,15529.66,14655.41,project-16-subproject-29-rca-30program-97
project-8,subproject-33,rca-39,program-120,29811,25110.23,27046.93,31353.01,34543.03,27937.88,project-8-subproject-33-rca-39program-120
project-9,subproject-22,rca-23,program-31,19148,13997.6,14576.98,11859.68,12230.46,11114.6,project-9-subproject-22-rca-23program-31
project-11,subproject-14,rca-22,program-19,8391,4826.25,4931.31,6335.77,4595.55,4433.47,project-11-subproject-14-rca-22program-19
project-10,subproject-6,rca-65,program-117,2709,3232.54,2984.65,3213.26,2683.35,2488.86,project-10-subproject-6-rca-65program-117
project-9,subproject-22,rca-52,program-98,6135,5673.25,6458.84,6458.63,5579.51,5228.89,project-9-subproject-22-rca-52program-98
project-12,subproject-7,rca-19,program-103,4190,3804.76,4201.98,3331.29,2438.59,2293.98,project-12-subproject-7-rca-19program-103
project-10,subproject-31,rca-56,program-7,9611,6684.57,5425.99,4148.19,2697.56,2686.13,project-10-subproject-31-rca-56program-7
project-7,subproject-11,rca-67,program-57,7556,4450.18,4887.14,6039.5,3974.35,3284.17,project-7-subproject-11-rca-67program-57
project-2,subproject-15,rca-36,program-72,26122,33594.78,36615.15,26994.06,28521.34,24753.2,project-2-subproject-15-rca-36program-72
project-5,subproject-8,rca-47,program-66,1417,1351.97,1333.69,1677.17,1739.67,1466.7,project-5-subproject-8-rca-47program-66
project-16,subproject-1,rca-67,program-9,23054,22372.57,20291.32,15380.73,14578.4,12952.97,project-16-subproject-1-rca-67program-9
project-4,subproject-13,rca-9,program-66,26885,32036.93,33923.17,36991.33,41305.65,39032.96,project-4-subproject-13-rca-9program-66
project-10,subproject-2,rca-30,program-24,18702,10651.92,9069.53,8639.01,8519.91,8180.21,project-10-subproject-2-rca-30program-24
project-3,subproject-5,rca-39,program-88,1103,875.16,901.64,686.87,718.72,607.31,project-3-subproject-5-rca-39program-88
project-2,subproject-19,rca-47,program-70,12618,6557.9,6483.18,7650.75,9159.72,9111.6,project-2-subproject-19-rca-47program-70
project-13,subproject-40,rca-1,program-32,17394,14347.89,14528.27,15382.9,9248.44,8199.47,project-13-subproject-40-rca-1program-32
project-19,subproject-10,rca-2,program-41,29269,31800.64,31120.12,37559.68,35717.47,32313.94,project-19-subproject-10-rca-2program-41
project-4,subproject-7,rca-26,program-90,8919,7870.87,7885.61,5312.85,5205.21,4610.79,project-4-subproject-7-rca-26program-90
project-5,subproject-3,rca-62,program-49,14977,7992.88,7498.88,9471.28,7698.15,6308.65,project-5-subproject-3-rca-62program-49
project-1,subproject-5,rca-56,program-28,7881,4867.28,5421.05,6741.85,5217.27,4365.93,project-1-subproject-5-rca-56program-28
project-16,subproject-23,rca-33,program-18,1675,1292.84,1202.3,730.25,793.96,698.13,project-16-subproject-23-rca-33program-18
project-9,subproject-32,rca-57,program-114,25721,30977.26,32026.57,35862.53,37592.73,36029.82,project-9-subproject-32-rca-57program-114
project-3,subproject-28,rca-3,program-12,29081,25549.29,29592.92,33472.16,30864.33,30749.55,project-3-subproject-28-rca-3program-12
project-15,subproject-27,rca-47,program-112,1486,1562.79,1512.4,1686.49,1402.38,1217.33,project-15-subproject-27-rca-47program-112
project-4,subproject-5,rca-51,program-37,10499,10894.9,9787.28,7582.56,5488.51,5364.21,project-4-subproject-5-rca-51program-37
project-17,subproject-24,rca-53,program-58,11654,8399.79,8929.72,8438.84,6816.47,6325.35,project-17-subproject-24-rca-53program-58
project-19,subproject-24,rca-14,program-6,1184,934.81,975.07,898.1,710.04,606.91,project-19-subproject-24-rca-14program-6
project-13,subproject-39,rca-63,program-100,3081,2547.31,2841.99,3447.38,3774.17,3524.94,project-13-subproject-39-rca-63program-100
project-15,subproject-11,rca-33,program-15,5940,7472.31,8515.21,5609.38,6186.36,5882.39,project-15-subproject-11-rca-33program-15
project-19,subproject-21,rca-69,program-75,26237,20272.28,23875.32,25627.34,24783.26,21920.61,project-19-subproject-21-rca-69program-75
project-3,subproject-5,rca-75,program-99,5576,5233.15,6116.06,4710.95,5478.21,5129.92,project-3-subproject-5-rca-75program-99
project-16,subproject-22,rca-21,program-119,17999,13093.83,13158.84,16798.35,11914.12,11219.05,project-16-subproject-22-rca-21program-119
project-19,subproject-6,rca-47,program-85,3073,2167.79,1833.75,1720.2,1802.44,1752.78,project-19-subproject-6-rca-47program-85
project-10,subproject-23,rca-58,program-116,21517,27153.27,29231.51,18879.22,12089.43,9850.82,project-10-subproject-23-rca-58program-116
project-4,subproject-25,rca-72,program-9,8807,8210.31,6982.73,5088.91,4769.5,4305.02,project-4-subproject-25-rca-72program-9
project-6,subproject-15,rca-67,program-70,15912,14065.98,12790.97,8445.95,6284.41,5043.23,project-6-subproject-15-rca-67program-70
project-18,subproject-23,rca-55,program-5,16107,20428.67,20579.48,17174.62,16697.44,15017.23,project-18-subproject-23-rca-55program-5
project-9,subproject-10,rca-58,program-104,20475,19613.13,16155.87,17724.79,19037.85,15859.43,project-9-subproject-10-rca-58program-104
project-2,subproject-22,rca-4,program-85,8636,10315.19,10644.41,9678.24,5858.92,5118.46,project-2-subproject-22-rca-4program-85
project-14,subproject-2,rca-61,program-53,13667,9919.43,8486.54,7745.88,9209.02,8902.05,project-14-subproject-2-rca-61program-53
project-11,subproject-26,rca-3,program-9,18881,21807.86,23698.83,14328.46,9134.76,8593.28,project-11-subproject-26-rca-3program-9
project-8,subproject-8,rca-55,program-87,13927,8780.46,7354.11,8318.73,7853.47,7408.11,project-8-subproject-8-rca-55program-87
project-9,subproject-17,rca-63,program-92,15155,14756.39,17269.11,22182.73,24483.17,21134.82,project-9-subproject-17-rca-63program-92
project-10,subproject-14,rca-13,program-36,16509,12452.89,13035.07,14782.59,12411.48,10339.6,project-10-subproject-14-rca-13program-36
project-10,subproject-1,rca-39,program-85,18055,9224.04,7701.55,8954.58,10699.04,10012.08,project-10-subproject-1-rca-39program-85
project-8,subproject-10,rca-43,program-43,6042,3214.01,3099.8,2236.94,2383.22,2147.06,project-8-subproject-10-rca-43program-43
project-15,subproject-18,rca-12,program-83,19869,14544.97,12531.33,12299.0,10181.74,9299.29,project-15-subproject-18-rca-12program-83
project-12,subproject-4,rca-19,program-14,3373,4340.68,3565.05,3165.89,3406.4,3029.87,project-12-subproject-4-rca-19program-14
project-8,subproject-16,rca-35,program-57,26246,19375.52,22404.12,21277.47,21641.81,18842.78,project-8-subproject-16-rca-35program-57
project-17,subproject-7,rca-27,program-107,20376,13021.49,12511.06,9216.61,10826.21,10554.39,project-17-subproject-7-rca-27program-107
